titel,kategori,kalla,arabisk_text,beskrivning
Istighfar Abu Bakr, Istighfar, Bukhari, "اللَّهُمَّ إِنِّي ظَلَمْتُ نَفْسِي ظُلْمًا كَثِيرًا، وَلاَ يَغْفِرُ الذُّنُوبَ إِلاَّ أَنْتَ، فَاغْفِرْ لِي مَغْفِرَةً مِنْ عِنْدِكَ، وَارْحَمْنِي، إِنَّكَ أَنْتَ الْغَفُورُ الرَّحِيمُ", "Abu Bakr (RA) frågade profeten (SAW) om en dua att säga i sin bön och fick denna."
Mästaren av förlåtelseböner, Istighfar, Bukhari, "اللَّهُمَّ أَنْتَ رَبِّي، لاَ إِلَهَ إِلاَّ أَنْتَ، خَلَقْتَنِي وَأَنَا عَبْدُكَ، وَأَنَا عَلَى عَهْدِكَ وَوَعْدِكَ مَا اسْتَطَعْتُ، أَعُوذُ بِكَ مِنْ شَرِّ مَا صَنَعْتُ، أَبُوءُ لَكَ بِنِعْمَتِكَ عَلَىَّ وَأَبُوءُ لَكَ بِذَنْبِي، فَاغْفِرْ لِي، فَإِنَّهُ لاَ يَغْفِرُ الذُّنُوبَ إِلاَّ أَنْتَ", "Den som säger denna på morgonen och dör under dagen, kommer till paradiset. Den den som säger denna på kvällen och dör under natten, kommer till paradiset."
Räddning från helvetet, Morgon, Abu Dawud, "اللَّهُمَّ إِنِّي أَصْبَحْتُ أُشْهِدُكَ وَأُشْهِدُ حَمَلَةَ عَرْشِكَ وَمَلاَئِكَتَكَ وَجَمِيعَ خَلْقِكَ أَنَّكَ أَنْتَ اللَّهُ لاَ إِلَهَ إِلاَّ أَنْتَ وَأَنَّ مُحَمَّدًا عَبْدُكَ وَرَسُولُكَ", "Den som säger denna 4 gånger på morgonen är räddad från helvetet."
Sulaimans tacksamhetsbön, Tacksamhet, Koranen (27:19), "رَبِّ أَوْزِعْنِي أَنْ أَشْكُرَ نِعْمَتَكَ الَّتِي أَنْعَمْتَ عَلَيَّ وَعَلَىٰ وَالِدَيَّ وَأَنْ أَعْمَلَ صَالِحًا تَرْضَاهُ وَأَدْخِلْنِي بِرَحْمَتِكَ فِي عِبَادِكَ الصَّالِحِينَ", "Sulaimans dua när han hörde myrorna prata."
Hjälp med dyrkan,Bön,Abu Dawud,"اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ","Rådet profeten (SAW) gav till Muadh ibn Jabal; rekommenderas att sägas efter varje obligatorisk bön."
Bön om Allahs kärlek,Dua,Tirmidhi,"اللَّهُمَّ إِنِّي أَسْأَلُكَ حُبَّكَ وَحُبَّ مَنْ يُحِبُّكَ وَالْعَمَلَ الَّذِي يُبَلِّغُنِي حُبَّكَ","Dua av Profeten Dawud (AS); bön om att få älska Allah och utföra handlingar som leder till Hans kärlek."
Det bästa minnet (Tawhid),Dhikr,Bukhari,"لاَ إِلَهَ إِلاَّ اللَّهُ وَحْدَهُ لاَ شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كُلِّ شَىْءٍ قَدِيرٌ","Sägs ofta 100 gånger på morgonen för skydd och stor belöning; eller 10 gånger efter bön."
Guds gåva (Efter bön),Bön,Bukhari,"لاَ إِلَهَ إِلاَّ اللَّهُ وَحْدَهُ لاَ شَرِيكَ لَهُ، لَهُ الْمُلْكُ، وَلَهُ الْحَمْدُ، وَهْوَ عَلَى كُلِّ شَىْءٍ قَدِيرٌ، اللَّهُمَّ لاَ مَانِعَ لِمَا أَعْطَيْتَ، وَلاَ مُعْطِيَ لِمَا مَنَعْتَ، وَلاَ يَنْفَعُ ذَا الْجَدِّ مِنْكَ الْجَدُّ","Rekommenderas att sägas efter salam vid varje obligatorisk bön."
Skydd mot otro och fattigdom,Skydd,Abu Dawud,"اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْكُفْرِ وَالْفَقْرِ وَعَذَابِ الْقَبْرِ","Sägs ofta i samband med morgon- och kvällsminnen."
Talbiyah,Hajj/Umrah,Bukhari,"لَبَّيْكَ اللَّهُمَّ لَبَّيْكَ لَبَّيْكَ لاَ شَرِيكَ لَكَ لَبَّيْكَ إِنَّ الْحَمْدَ وَالنِّعْمَةَ لَكَ وَالْمُلْكَ لاَ شَرِيكَ لَكَ","Det officiella mottot för pilgrimer under Hajj och Umrah."
